,rating
0,10
1,10
2,10
3,10
4,1
5,10
6,8
7,1
8,10
9,10
10,7
11,2
12,10
13,10
14,10
15,10
16,10
17,8
18,10
19,6
20,7
21,10
22,9
23,9
24,10
25,8
26,10
27,10
28,10
29,5
30,10
31,10
32,10
33,9
34,3
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,8
46,10
47,9
48,10
49,10
50,10
51,7
52,10
53,9
54,10
55,10
56,10
57,10
58,10
59,10
60,9
61,10
62,10
63,3
64,10
65,10
66,10
67,10
68,10
69,1
70,9
71,10
72,10
73,8
74,3
75,1
76,6
77,10
78,9
79,9
80,1
81,1
82,1
83,10
84,9
85,9
86,1
87,6
88,9
89,10
90,8
91,9
92,3
93,5
94,8
95,10
96,9
97,9
98,9
99,1
100,8
101,10
102,1
103,4
104,5
105,1
106,3
107,9
108,10
109,6
110,10
111,7
112,9
113,9
114,9
115,10
116,6
117,10
118,2
119,8
120,8
121,9
122,9
123,10
124,7
125,3
126,8
127,8
128,1
129,1
130,5
131,1
132,1
133,1
134,1
135,10
136,10
137,1
138,2
139,10
140,9
141,7
142,9
143,10
144,10
145,8
146,10
147,9
148,8
149,9
150,1
151,5
152,7
153,8
154,1
155,3
156,4
157,8
158,10
159,10
160,2
161,10
162,9
163,9
164,1
165,3
166,3
167,1
168,5
169,6
170,2
171,1
172,6
173,4
174,10
175,1
176,9
177,10
178,9
179,10
180,10
181,8
182,9
183,10
184,10
185,10
186,6
187,8
188,8
189,10
190,9
191,3
192,5
193,8
194,10
195,10
196,10
197,10
198,9
199,6
200,9
201,8
202,7
203,8
204,4
205,7
206,4
207,5
208,7
209,10
210,10
211,8
212,9
213,10
214,6
215,9
216,10
217,10
218,6
219,10
220,10
221,8
222,9
223,9
224,8
225,8
226,9
227,8
228,10
229,6
230,5
231,10
232,2
233,2
234,3
235,8
236,10
237,9
238,10
239,9
240,3
241,10
242,10
243,8
244,10
245,10
246,10
247,5
248,9
249,2
250,10
251,5
252,8
253,10
254,8
255,2
256,10
257,10
258,9
259,10
260,4
261,9
262,3
263,10
264,3
265,10
266,6
267,10
268,6
269,1
270,6
271,5
272,7
273,2
274,10
275,4
276,10
277,9
278,9
279,10
280,2
281,7
282,9
283,9
284,10
285,10
286,7
287,6
288,1
289,10
290,1
291,10
292,9
293,9
294,9
295,10
296,9
297,10
298,7
299,9
300,8
301,5
302,9
303,10
304,10
305,1
306,1
307,1
308,3
309,7
310,5
311,10
312,8
313,10
