,reviews,date,clean_review,sentiment
0,"✅ Trip Verified |  Flew on GA860 Jakarta to Hong Kong. I was met at checking by the Garuda PSA Team leader Vianda who assisted me with check-in, then escorted me through security, immigration and into the business lounge. Lot of hot and cold food, snacks, and hot and cold drinks were available, however as I was fasting, I did not consume anything. When it came time for boarding Ms. Vianda arranged a buggy to take us to the remote gate and I was able to board at leisure. The cabin crew upon boarding provided gave me a warm welcome and guided me to my seat. The flight was full; however, the cabin crew were extremely friendly and knowing that I was fasting provided me with additional pillows and blankets to ensure that I was comfortable. They also came around several times to ensure that I was fine. Upon arrival in Hong Kong, I was met at the Plane door by Garuda Hong Kong manager Mr. Leonard and his team who guided me through the Skytrain, immigration, baggage collection to my waiting car. A big thank you Mr. Leonard and his team their help was much appreciated as it has been over 5 years since I was in Hong Kong airport. Another wonderful flight on Garuda Indonesia.",2024-04-10,flew ga860 jakarta hong kong met check garuda psa team leader vianda assist checkin escort security immigration business lounge lot hot cold food snack hot cold drink available however fast consume anything come time boarding m vianda arrange buggy take us remote gate able board leisure cabin crew upon boarding provide give warm welcome guide seat flight full however cabin crew extremely friendly know fast provide additional pillow blanket ensure comfortable also come around several time ensure fine upon arrival hong kong met plane door garuda hong kong manager mr leonard team guide skytrain immigration baggage collection wait car big thank mr leonard team help much appreciate 5 year since hong kong airport another wonderful flight garuda indonesia,Positive
1,"✅ Trip Verified |  Flew on GA-89 Amsterdam to Jakarta March 2024. From being picked up from my hotel in Amsterdam to being dropped off at my home in Jakarta it was a seamless and wonderful experience. Garuda also provides access to the VIP Lounge in Schiphol airport, and this means that all security and immigration formalities are completed in the lounge avoiding long queues. The flight itself was outstanding as I was lucky to have the same crew as on the outbound flight i.e. Yudirsyan, Renny, Chef Gia and Affiriyani and again they were very welcoming and gave an outstanding service throughout the flight. They even catered to my very early breakfast request. I put the service provided on the ground and in the air at 11/10. A big thank you to the GA89 Team.",2024-03-20,flew ga89 amsterdam jakarta march 2024 picked hotel amsterdam drop home jakarta seamless wonderful experience garuda also provide access vip lounge schiphol airport mean security immigration formality complete lounge avoid long queue flight outstanding lucky crew outbound flight ie yudirsyan renny chef gia affiriyani welcome give outstanding service throughout flight even cater early breakfast request put service provide ground air 1110 big thank ga89 team,Positive
2,"✅ Trip Verified |  Flew on GA-88 Jakarta to Amsterdam March 2024. I was picked up from my home by a car provided by Garuda-Indonesia and driven to the Terminal-3 airport where I was met at the curbside by Yudi from the First Class Team who assisted me with my luggage, check-in, fast track through security and immigration and into the First-Class lounge. There was a full a la carte food service available, however I chose the fruit platter. The ambience in the lounge was good and the staff were very helpful. When it came for boarding, I again was assisted by Yudi to the aircraft and door. The flight itself was amazing. The crew of Yudirsyan, Renny, Chef Gia and Affiriyani onboard this flight were very welcoming and gave an outstanding service throughout the flight. The Bathroom was always kept clean by the crew. & Food was delicious. Every time I went to the bathroom, and I came back to my seat, my bed was made up again. I know it was a small gesture, but much appreciated and goes to show the level of service that Garuda provides. This flight is another 10/10. I did use the onboard Wi Fi and it was good and fast as was the connection.",2024-03-16,flew ga88 jakarta amsterdam march 2024 picked home car provide garudaindonesia driven terminal3 airport met curbside yudi first class team assist luggage checkin fast track security immigration firstclass lounge full la carte food service available however chose fruit platter ambience lounge good staff helpful come boarding assist yudi aircraft door flight amaze crew yudirsyan renny chef gia affiriyani onboard flight welcome give outstanding service throughout flight bathroom always kept clean crew food delicious every time go bathroom come back seat bed make know small gesture much appreciate go show level service garuda provide flight another 1010 use onboard wi fi good fast connection,Positive
3,"✅ Trip Verified | Flew on GA682 Jakarta - Sorong. Upon entering the check-in area, I was met by the Garuda PSA Team leader Vianda who assisted me with check-in, then escorted me through security and into the domestic lounge. There was both warm and cold snacks available in the lounge as well as hot and cold drinks, the lounge team were very helpful in offering snacks, fruits, and drinks during our stay in the lounge. When it came time for boarding myself and colleagues were escorted to the gate by Ma-uf from Garuda PSA Team and boarding was orderly and the plane doors were closed within 15 minutes of boarding commencement. The flight was just over 3 hours 45 minutes; however, we had a long taxi ride to Terminal one runway, however the aircraft took off with the scheduled time frame. The flight was quite full; however, the cabin crew were quite friendly and provided us with a breakfast menu which was quite filling. The cabin crew came around several times offering top ups of hot, cold drinks and bread rolls. We arrived in Sorong on schedule, however had to wait for approx. 20 minutes to obtain my luggage, early morning is Sorong is always busy as there are several flights that land within minutes of each other. Another delightful flight on Garuda Indonesia.",2024-02-25,flew ga682 jakarta sorong upon enter checkin area met garuda psa team leader vianda assist checkin escort security domestic lounge warm cold snack available lounge well hot cold drink lounge team helpful offering snack fruit drink stay lounge come time boarding colleague escort gate mauf garuda psa team boarding orderly plane door close within 15 minute boarding commencement flight 3 hour 45 minute however long taxi ride terminal one runway however aircraft take schedule time frame flight quite full however cabin crew quite friendly provide us breakfast menu quite fill cabin crew come around several time offering top ups hot cold drink bread roll arrive sorong schedule however wait approx 20 minute obtain luggage early morning sorong always busy several flight land within minute another delightful flight garuda indonesia,Positive
4,"Not Verified | The ground experience is terrible, the Garuda international lounge is dirty. The showers are not cleaned between 2 passengers. The boarding experience is chaotic. Just before boarding the plane we are asked to leave our water bottles at the gate (which does not make any sense as we've already been through security). The cabin crew is unfriendly, the seats and toilets are dirty and the footrest is uncomfortable as it eats your legroom. No comment or excuses from the crew after a 1 hour delay. It seemed to be normal.",2024-02-25,ground experience terrible garuda international lounge dirty shower clean 2 passenger boarding experience chaotic boarding plane ask leave water bottle gate make sense weve already security cabin crew unfriendly seat toilet dirty footrest uncomfortable eats legroom comment excuse crew 1 hour delay seem normal,Negative
5,"✅ Trip Verified |  Flew on GA683 Sorong – Jakarta. Check in process was fast as most people had already checked in when I arrived. Garuda Indonesia using a local lounge in Sorong, it is large, however has limited snacks and drinks, however the lounge staff are very helpful. When it came time for boarding it was well controlled and people were boarded based on seat row. The flight itself was just over 3 hours 35 minutes and the cabin crew were quite friendly and attentive. They came around several times to top up the hot and cold drinks. When I arrived in Jakarta I was met by Ika and Yudi from Garuda PSA Team and as were the aircraft parked it was long way from the baggage area, they had arranged a car to take me to the terminal. They then helped me obtain my luggage and escorted me to my car. Thank You Ika and Yuda, very much appreciated. What I really like about Garuda Indonesia is their ground and cabin crews as they never cease to amaze me with their truly welcoming smile, and they go out of their way to be very helpful.",2024-02-18,flew ga683 sorong jakarta check process fast people already checked arrive garuda indonesia use local lounge sorong large however limited snack drink however lounge staff helpful come time boarding well control people board base seat row flight 3 hour 35 minute cabin crew quite friendly attentive come around several time top hot cold drink arrive jakarta met ika yudi garuda psa team aircraft park long way baggage area arrange car take terminal help obtain luggage escort car thank ika yuda much appreciate really like garuda indonesia ground cabin crew never cease amaze truly welcome smile go way helpful,Positive
6,"✅ Trip Verified |  Flew on GA682 Jakarta to Sorong and check in was fast and efficient. I was then escorted through security to the Garuda lounge by Yudi from Garuda PSA Team. As it was a late-night flight the lounge was not that busy, however there were sufficient snacks, food and hot and colds drinks available. Boarding was orderly; however, it seems that Garuda lets people board with quite a lot of hand luggage, and I saw some large size cases as well which I believe should have been checked in as they took up too much space in the overhead storage bins. It was an overnight flight; however, the seats were reasonably comfortable. The cabin crew was efficient and welcoming, after takeoff they came around and offered a small meal and some hot & drinks. Not the best, however sufficient. We landed in Sorong on time and baggage came out very quickly. Overall, not a bad flight.",2024-02-14,flew ga682 jakarta sorong check fast efficient escort security garuda lounge yudi garuda psa team latenight flight lounge busy however sufficient snack food hot cold drink available boarding orderly however seem garuda let people board quite lot hand luggage saw large size case well believe checked take much space overhead storage bin overnight flight however seat reasonably comfortable cabin crew efficient welcome takeoff come around offer small meal hot drink best however sufficient land sorong time baggage come quickly overall bad flight,Positive
7,"✅ Trip Verified |  A330 was a really old aircraft. Inflight entertainment is non existent. Movies like Batman, New Years Eve and The Intern were featured. There was not a recent movie and very limited options. Made feedback to the senior crew but she ignored me. Not that good of a service from a 5 star airline.",2024-02-10,a330 really old aircraft inflight entertainment non existent movie like batman new year eve intern feature recent movie limited option make feedback senior crew ignore good service 5 star airline,Positive
8,"✅ Trip Verified | Flew on GA407 from Denpasar, Bali to Jakarta. I was met at curbside and was assisted by a Garuda PSA Team member who escorted me to the check in desk and then assisted me through security and onto the Garuda lounge, The lounge is reasonable sized and has good selection of local food, snacks, and soft drinks. When it came time for boarding the Garuda PSA was also on hand to escort me to the aircraft. On boarding I was welcomed by the cabin crew and was directed to my seat. There was two selections of food for the lunch time meal, and I was able to mix and match from the two meals. The service was excellent and with the warm Garuda smile. We arrived in Jakarta slightly ahead of schedule, and I was met at the plane door by Firyal from the Garuda PSA Team who assisted me with baggage collection and escorted me to my car. Thank you, Firyal. The service from check in until receiving my luggage in Jakarta was outstanding.",2024-02-05,flew ga407 denpasar bali jakarta met curbside assist garuda psa team member escort check desk assist security onto garuda lounge lounge reasonable size good selection local food snack soft drink come time boarding garuda psa also hand escort aircraft boarding welcome cabin crew direct seat two selection food lunch time meal able mix match two meal service excellent warm garuda smile arrive jakarta slightly ahead schedule met plane door firyal garuda psa team assist baggage collection escort car thank firyal service check receive luggage jakarta outstanding,Positive
9,"✅ Trip Verified |  Flew GA402 Jakarta to Denpasar, Bali. The flight was early morning; however, the airport was quite business. At the check in desk, I was assisted by Herbart from Garuda PSA Team who also assisted me though security and into the lounge. When it came time for boarding Herbart was also on hand to assist. The onboard service was excellent and there was a good breakfast selection. I chose the omelet which came with side dishes and condiments. Overall, the meal and drink service was very good. We arrived in Denpasar on schedule, and I was met at the plane door by Davi from the Garuda PSA Team who assisted me with baggage collection and escorted me to my hotel car. Thank you Davi. Another great flight on Garuda Indonesia.",2024-02-03,flew ga402 jakarta denpasar bali flight early morning however airport quite business check desk assist herbart garuda psa team also assist though security lounge come time boarding herbart also hand assist onboard service excellent good breakfast selection chose omelet come side dish condiment overall meal drink service good arrive denpasar schedule met plane door davi garuda psa team assist baggage collection escort hotel car thank davi another great flight garuda indonesia,Positive
